Date,Open,High,Low,Close,Adj Close,Volume,SMA,EMA,MACD,MACD_Signal,RSI,ATR,OBV,Percent_R,ADX,CCI,ROC,Percent_Change,Signal_Line,%D,%K
24/01/2013,20.110001,20.125,19.785,19.790001,16.033079,25238600,19.51500007,19.52803982,0.266515761,0.114923512,62.19874014,0.265714286,71484000,-22.80118749,18.32119436,8.740171984,-1.049995,-1.049995,19.73547839,82.33810648,79.04456832
25/01/2013,19.959999,19.959999,19.75,19.879999,16.105991,20791000,19.57535714,19.57496771,0.266515761,0.114923512,63.98363665,0.261734622,92275000,-16.93812178,18.32119436,8.740171984,0.45476501,0.45476501,19.76438251,82.33810648,79.04456832
28/01/2013,19.950001,19.955,19.754999,19.785,16.029026,19535000,19.63499993,19.60297201,0.266515761,0.114923512,60.72422221,0.257325078,72740000,-23.12698575,18.32119436,8.740171984,-0.477862197,-0.477862197,19.76850601,82.33810648,79.04456832
29/01/2013,19.795,19.795,19.475,19.555,15.8427,29795800,19.6689285,19.59657574,0.266515761,0.114923512,53.60446599,0.261801858,42944200,-54.16657407,18.32119436,8.740171984,-1.162496841,-1.162496841,19.72580481,77.11580579,68.58943946
30/01/2013,19.639999,19.67,19.43,19.514999,15.810278,30076200,19.69071421,19.58569885,0.266515761,0.114923512,52.45261058,0.260244583,12868000,-61.57641535,18.32119436,8.740171984,-0.204556379,-0.204556379,19.68364365,67.11467202,53.71000828
31/01/2013,19.25,19.465,18.945,19.040001,15.425462,50031400,19.67571429,19.51293913,0.266515761,0.114923512,41.14604501,0.282369898,-37163400,-92.05011887,18.32119436,-70.54234332,-2.434014985,-2.434014985,19.55491512,51.01169277,30.73563057
01/02/2013,19.200001,19.309999,19.065001,19.299999,15.636104,30707200,19.68071421,19.48454711,0.266515761,0.114923512,47.78123149,0.281486191,-6456200,-70.29294585,18.32119436,-57.49357444,1.365535643,1.365535643,19.50393189,36.60193739,25.36017331
04/02/2013,19.225,19.254999,18.905001,19.094999,15.470016,32342600,19.65464279,19.43260737,0.266515761,0.114923512,43.60677458,0.289594177,-38798800,-84.61552164,18.32119436,-87.84827341,-1.062176221,-1.062176221,19.42214532,24.5920917,17.68047121
05/02/2013,19.24,19.735001,19.110001,19.620001,15.895355,32715000,19.65607143,19.45759318,0.266515761,0.114923512,54.55656029,0.314623308,-6083800,-42.1051694,18.32119436,-9.634341121,2.749421458,2.749421458,19.46171645,25.78981074,34.3287877
06/02/2013,19.559999,19.575001,19.299999,19.365,15.688753,22999600,19.64,19.44524743,0.266515761,0.114923512,49.52640809,0.3150075,-29083400,-62.75305709,18.32119436,-35.66008133,-1.29969922,-1.29969922,19.44237316,29.61711429,36.84208395
07/02/2013,19.334999,19.370001,19.040001,19.309999,15.644197,26062600,19.59249993,19.4272143,0.266515761,0.114923512,48.48796784,0.316078393,-55146000,-67.20658657,18.32119436,-81.04218098,-0.284022721,-0.284022721,19.41589833,37.93864466,42.64506231
08/02/2013,19.344999,19.440001,19.275,19.375,15.696862,30787000,19.53821421,19.4202524,0.266515761,0.114923512,49.82687351,0.30528715,-24359000,-61.47546023,18.32119436,-51.96321556,0.33661835,0.33661835,19.40771866,38.55848166,36.1882987
11/02/2013,19.365,19.385,19.195,19.32,15.652308,14686400,19.49642843,19.40688541,0.266515761,0.114923512,48.67404146,0.297052354,-39045400,-65.98366064,18.32119436,-70.4929579,-0.283870968,-0.283870968,19.39017493,37.98159729,35.11143085
12/02/2013,19.299999,19.514999,19.155001,19.485001,15.785982,34855600,19.45964279,19.41730082,0.266515761,0.114923512,52.2438145,0.301548472,-4189800,-52.45897743,17.49024607,-48.00100282,0.854042443,0.854042443,19.40914014,37.10901004,40.02730057
13/02/2013,20.934999,21,19.92,20.065001,16.255877,114136600,19.47928564,19.50366085,0.266515761,0.114923512,62.1968876,0.388223509,109946800,-44.63004517,19.21714661,164.9750913,2.976648551,2.976648551,19.54031232,40.26039011,45.64243892
14/02/2013,20.195,20.34,19.950001,20.17,16.340942,43627400,19.5,19.59250607,0.266515761,0.114923512,63.67293312,0.38835033,153574200,-39.61815734,20.82069711,107.8003119,0.523294267,0.523294267,19.66624985,46.7002265,54.43094002
15/02/2013,20.135,20.629999,20.135,20.620001,16.705509,39906000,19.55964293,19.72950539,0.266515761,0.114923512,69.21989616,0.395968092,193480200,-18.13838575,22.69760179,150.515293,2.23104115,2.23104115,19.85700008,55.31483873,65.87113725
19/02/2013,20.635,20.785,20.6,20.725,16.790579,34180800,19.64321436,19.86223801,0.266515761,0.114923512,70.35726059,0.380898943,227661000,-13.12649791,24.63263031,172.40322,0.509209481,0.509209481,20.03060007,65.55813231,76.37231967
20/02/2013,20.76,20.865,20.459999,20.475,16.588043,31255800,19.71178586,19.9439396,0.266515761,0.114923512,64.26800877,0.382620518,196405200,-25.05967783,25.92508618,136.3680692,-1.206272618,-1.206272618,20.11948005,74.48953436,81.22514617
21/02/2013,20.360001,20.415001,19.98,20.040001,16.235611,26115800,19.78321443,19.95674779,0.247708197,0.141480449,55.29969698,0.390647624,170289400,-45.82336316,25.61384726,62.42398857,-2.124537241,-2.124537241,20.10358424,76.53142873,71.99682036
22/02/2013,19.91,20.045,19.815001,19.955,16.166756,28505600,19.83000021,19.95651475,0.223369334,0.157858226,53.7221239,0.379172722,141783800,-49.88069207,24.87308035,30.19348585,-0.424156665,-0.424156665,20.07386739,70.98912962,59.74542231
