Date,Open,High,Low,Close,Adj Close,Volume,SMA,EMA,MACD,MACD_Signal,RSI,ATR,OBV,Percent_R,ADX,CCI,ROC,Percent_Change,Signal_Line,%D,%K
02/01/2013,38.82,39.77,38.59,39.299999,32.285759,8202500,38.95071443,38.95071443,1.409573655,1.487702058,66.66666667,1.025714714,8202500,-13.47652607,33.96945057,87.92355153,-0.610681949,-0.610681949,38.44888944,85.11199946,82.95390244
03/01/2013,39.279999,39.450001,38.93,39.060001,32.088585,8486000,38.95071443,38.95071443,1.409573655,1.487702058,66.66666667,1.025714714,-283500,-13.47652607,33.96945057,87.92355153,-0.610681949,-0.610681949,38.44888944,85.11199946,82.95390244
04/01/2013,39.139999,39.16,38.209999,38.650002,31.75177,11319100,38.95071443,38.95071443,1.409573655,1.487702058,66.66666667,1.025714714,-11602600,-13.47652607,33.96945057,87.92355153,-1.049664592,-1.049664592,38.44888944,85.11199946,82.95390244
07/01/2013,38.43,38.450001,38.099998,38.240002,31.414936,8793200,38.95071443,38.95071443,1.409573655,1.487702058,66.66666667,1.025714714,-20395800,-13.47652607,33.96945057,87.92355153,-1.060802015,-1.060802015,38.44888944,85.11199946,82.95390244
08/01/2013,38.049999,38.16,37.43,37.52,30.823441,9577200,38.95071443,38.95071443,1.409573655,1.487702058,66.66666667,1.025714714,-29973000,-13.47652607,33.96945057,87.92355153,-1.88285032,-1.88285032,38.44888944,85.11199946,82.95390244
09/01/2013,37.790001,38.279999,37.75,37.950001,31.176702,7304700,38.95071443,38.95071443,1.409573655,1.487702058,66.66666667,1.025714714,-22668300,-13.47652607,33.96945057,87.92355153,1.146058102,1.146058102,38.44888944,85.11199946,82.95390244
10/01/2013,38.330002,38.639999,38.060001,38.540001,31.661396,6333000,38.95071443,38.95071443,1.409573655,1.487702058,66.66666667,1.025714714,-16335300,-13.47652607,33.96945057,87.92355153,1.554677166,1.554677166,38.44888944,85.11199946,82.95390244
11/01/2013,38.630001,38.900002,38.389999,38.57,31.686049,4989100,38.95071443,38.95071443,1.409573655,1.487702058,66.66666667,1.025714714,-11346200,-13.47652607,33.96945057,87.92355153,0.077838607,0.077838607,38.44888944,85.11199946,82.95390244
14/01/2013,38.5,38.73,38.18,38.209999,31.390297,4766200,38.95071443,38.95071443,1.409573655,1.487702058,66.66666667,1.025714714,-16112400,-13.47652607,33.96945057,87.92355153,-0.933370495,-0.933370495,38.44888944,85.11199946,82.95390244
15/01/2013,37.880001,38.200001,37.669998,38.099998,31.299934,5991600,38.95071443,38.95071443,1.409573655,1.487702058,66.66666667,1.025714714,-22104000,-13.47652607,33.96945057,87.92355153,-0.287885378,-0.287885378,38.37911116,85.11199946,82.95390244
16/01/2013,37.880001,38.080002,37.630001,37.939999,31.168488,5083500,38.95071443,38.95071443,1.409573655,1.487702058,66.66666667,1.025714714,-27187500,-13.47652607,33.96945057,87.92355153,-0.419944904,-0.419944904,38.29128872,85.11199946,82.95390244
17/01/2013,41.580002,42.549999,40.939999,40.950001,33.64127,35077400,38.95071443,38.95071443,1.409573655,1.487702058,66.66666667,1.025714714,7889900,-13.47652607,33.96945057,87.92355153,7.933584816,7.933584816,38.82303118,85.11199946,82.95390244
18/01/2013,40.950001,41,39.939999,40.419998,33.205864,11792300,38.95071443,38.95071443,1.409573655,1.487702058,66.66666667,1.025714714,-3902400,-13.47652607,33.96945057,87.92355153,-1.294268589,-1.294268589,39.14242454,85.11199946,82.95390244
22/01/2013,40.450001,41.93,40.400002,41.860001,34.388851,9206400,38.95071443,38.95071443,1.409573655,1.487702058,66.66666667,1.025714714,5304000,-13.47652607,33.96945057,87.92355153,3.562600374,3.562600374,39.68593983,85.11199946,82.95390244
23/01/2013,41.689999,42.27,41.459999,42.240002,34.701023,7321100,39.16071464,39.3892861,1.409573655,1.487702058,66.66666667,1.025714714,12625100,-6.054630089,33.96945057,87.92355153,0.907790232,0.907790232,40.19675227,85.11199946,82.95390244
24/01/2013,42.27,43.139999,41.650002,41.98,34.487438,7957800,39.369286,39.73471462,1.409573655,1.487702058,64.61537135,1.058877735,4667300,-20.31522247,33.96945057,87.92355153,-0.615535009,-0.615535009,40.55340181,85.11199946,82.95390244
