Date,Open,High,Low,Close,Adj Close,Volume
02/01/2013,13.601429,13.687143,12.955714,13.144286,13.144286,19431300
03/01/2013,13.138571,13.988571,13.075714,13.798571,13.798571,27912500
04/01/2013,13.791429,13.958571,13.648571,13.711429,13.711429,17761100
07/01/2013,13.77,14.535714,13.731429,14.171429,14.171429,45550400
08/01/2013,14.287143,14.427143,13.828571,13.88,13.88,24714900
09/01/2013,13.874286,13.992857,13.507143,13.701429,13.701429,20223000
10/01/2013,13.795714,14.274286,13.671429,14,14,26117700
11/01/2013,14.025714,14.56,14,14.47,14.47,29851500
14/01/2013,14.427143,14.928571,14.365714,14.778571,14.778571,23473100
15/01/2013,14.717143,14.908571,14.435714,14.527143,14.527143,17068100
16/01/2013,14.545714,14.614286,13.822857,13.925714,13.925714,28014700
17/01/2013,14.012857,14.085714,13.678571,13.957143,13.957143,16221100
18/01/2013,14.34,14.562857,14.097143,14.167143,14.167143,35999600
22/01/2013,14.235714,14.235714,13.798571,13.972857,13.972857,22773100
23/01/2013,13.875714,14.832857,13.86,14.751429,14.751429,74235000
24/01/2013,20.57,21.309999,19.945715,20.98,20.98,118805400
25/01/2013,20.809999,24.668571,20.80143,24.222857,24.222857,191445800
28/01/2013,24.644285,25.321428,22.969999,23.158571,23.158571,109104800
29/01/2013,22.59,24.268572,22.375713,24.16,24.16,59542000
30/01/2013,24.784286,25.071428,23.237143,23.957144,23.957144,48062700
31/01/2013,23.871429,24.142857,22.902857,23.605715,23.605715,35601300
01/02/2013,24.285713,24.714287,23.411428,23.542856,23.542856,50358000
04/02/2013,23.254286,25.018572,23.254286,24.962856,24.962856,50969100
05/02/2013,24.625713,25.412857,24.428572,24.912857,24.912857,57056300
06/02/2013,25,26.478571,24.935715,26.344286,26.344286,67190900
07/02/2013,26.535713,26.982857,25.505714,25.994286,25.994286,53086600
08/02/2013,25.962856,26.280001,25.715714,25.852858,25.852858,25657800
11/02/2013,25.568571,26.007143,24.97143,25.412857,25.412857,29325100
12/02/2013,25.808571,26.222857,25.101429,25.421429,25.421429,34399400
13/02/2013,25.842857,26.628571,25.665714,26.610001,26.610001,40929000
14/02/2013,26.755714,27.121429,26.384287,26.771429,26.771429,31979500
15/02/2013,26.938572,27.142857,26.60857,27.072857,27.072857,26652500
19/02/2013,27.285713,28.167143,27.164286,28.064285,28.064285,34138300
20/02/2013,28.225714,28.231428,26.642857,26.731428,26.731428,34996500
21/02/2013,26.571428,27.457144,26.071428,26.735714,26.735714,36894200
22/02/2013,26.245714,26.255714,25.49,25.694286,25.694286,38971100
25/02/2013,25.855715,26.728571,25.064285,25.617144,25.617144,52164700
